ID,ANO,seaice,tsm,Chla,MAT,LENGTH,LENGTH_P75,CATCH,SPR,SE SPR,biot,cvto
BS,1979,152.1639344262295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1980,155.5737704918033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1981,152.49180327868854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1982,152.49180327868854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1983,165.34426229508196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1984,143.37704918032787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1985,151.50819672131146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1986,151.8360655737705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1987,151.50819672131146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1989,152.68852459016392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1990,141.54098360655738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1991,139.9016393442623,272.2446109008789,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1992,143.7704918032787,272.221513671875,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1993,137.08196721311475,272.50235626220706,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1994,143.31147540983608,272.261960144043,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1995,136.2295081967213,272.25715606689454,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1996,142.45901639344262,272.4040042114258,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,1997,141.7377049180328,272.41289306640624,NA,NA,NA,NA,NA,NA,NA,302205,56.2
BS,1998,142.98360655737704,272.3255078125,NA,NA,NA,NA,NA,NA,NA,274253,36.09
BS,1999,138.72131147540983,272.47862030029296,NA,NA,NA,NA,NA,NA,NA,133683,9.6
BS,2000,137.672131147541,272.6089514160156,2.61155978679657,NA,NA,NA,NA,NA,NA,653831,80.9
BS,2001,139.70491803278688,272.31663177490236,1.5218416845798493,1.8424721189591078,3.846793680297398,4.324999999999999,25816000,0.132,0.024,126391,38.7
BS,2002,136.55737704918033,272.46953552246094,1.6699101614952088,NA,NA,NA,NA,NA,NA,182369,76.44
BS,2003,139.8360655737705,272.3881137084961,1.526376050710678,NA,NA,NA,NA,NA,NA,1230070,29.57
BS,2004,143.7704918032787,272.4049282836914,1.5709997916221619,1.8247368421052632,4.049263157894737,4.4,27700000,0.15,0.008,39166,93.34
BS,2005,137.47540983606558,272.4054086303711,1.653871259689331,2.0075,4.5855,4.8,800000,0.25,0.014,460022,42.24
BS,2006,138.78688524590163,272.5942175292969,1.5512150073051452,1.959881941407958,4.267774376912986,4.7,130573336,0.214,0.009,372081,44
BS,2007,141.80327868852459,272.3139657592773,1.460891078710556,2,3.7257731958762887,4,1940000,0.108,0.078,1241085,33
BS,2008,133.40983606557376,272.4612127685547,1.569763535261154,NA,NA,NA,NA,NA,NA,767417,55.03
BS,2009,128.2295081967213,272.47098937988284,1.4244734477996825,NA,NA,NA,NA,NA,NA,509163,25.57
BS,2010,132.0327868852459,272.32259857177735,1.3963309037685394,2.14662981075909,4.311932808845418,4.7,414513000,0.197,0.004,149322,53.9
BS,2011,134.59016393442624,272.38703552246096,1.4136925292015077,1.9947916666666667,3.976578125,4.3,22408000,0.185,0.012,851869,49.14
BS,2012,130.91803278688525,272.4448309326172,1.451097288131714,1.6581731050201625,3.7806899655192567,4.3,219940695,0.156,0.004,NA,NA
BS,2013,157.08196721311475,272.35377502441406,1.4123567593097688,1.9311813494732122,3.8571062188086223,4.2,1241226424.1031,0.13,0.001,NA,NA
BS,2014,143.44262295081967,272.1942514038086,1.3523690789937972,1.9443431581079713,4.19616009318343,4.492,1418885622.0888002,0.175,0.002,563314,24.13
BS,2015,135.8360655737705,272.3012698364258,1.4818930047750474,1.9847396419834582,4.181472029148708,4.571,1286472333.1492832,0.19,0.003,394970,46.02
BS,2016,131.63934426229508,272.3800991821289,1.6086937093734741,1.991573111064193,4.387153627934056,4.87,2211459308.958938,0.288,0.01,1034498,32.89
BS,2017,129.7377049180328,272.6377249145508,1.4712677651643753,1.8906839911743074,3.857266212700664,4.3,639102266.612822,0.165,0.004,NA,NA
BS,2018,130.39344262295083,272.63062072753905,1.5078217303752899,1.9740274744953958,4.048150678774855,4.382,1428030310.76648,0.165,0.003,798010,32.65
BS,2019,137.44262295081967,272.5453463745117,1.3461583185195922,1.9569551354310928,3.8908953589487583,4.4,995128357.7516234,0.161,0.004,2211875,18.95
BS,2020,141.24590163934425,272.71927642822266,1.376452608704567,1.9368673783120876,3.650290064600822,4.036,2195938839.374484,0.11,0.004,6375859,21
BS,2021,139.72131147540983,272.7046505737305,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,2022,138.21311475409837,272.68813690185544,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1979,0.5454545454545454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1980,0.36363636363636365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1981,0.18181818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1982,0.09090909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1983,0.3181818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1984,0.045454545454545456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1985,0.36363636363636365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1986,0.45454545454545453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1987,19.772727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1989,2.4545454545454546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1990,0.18181818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1991,0.4090909090909091,272.72179831921216,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1992,2.727272727272727,272.6312432087643,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1993,0.22727272727272727,273.0553380402041,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1994,0.8181818181818182,272.90779629559586,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1995,0.36363636363636365,272.92855791978434,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,1996,0.5,273.02391761457415,NA,NA,NA,NA,NA,NA,NA,4434840,26.48
EI,1997,0.5909090909090909,272.9595536782708,NA,NA,NA,NA,NA,NA,NA,9747485,29.7
EI,1998,1.3636363636363635,273.0085917728048,NA,NA,NA,NA,NA,NA,NA,2623315,17.26
EI,1999,0.3181818181818182,273.148301245461,NA,NA,NA,NA,NA,NA,NA,1264776,29.57
EI,2000,0.5454545454545454,273.25226023499397,0.925198575875289,NA,NA,NA,NA,NA,NA,3600547,21.5
EI,2001,0.22727272727272727,272.8774777264662,0.8178217553756606,1.9612068965517242,4.370474137931034,4.8,464000,0.223,0.062,1114753,19.79
EI,2002,0.45454545454545453,273.03196050079777,0.7934239152031886,NA,NA,NA,NA,NA,NA,561472,38.73
EI,2003,1.0909090909090908,272.8600788385096,0.7689207878331064,NA,NA,NA,NA,NA,NA,1993664,13.53
EI,2004,11.772727272727273,272.9818721287687,0.7804808184294634,2.185,4.4765,4.7,250000,0.219,0.028,616303,29.24
EI,2005,0.36363636363636365,272.87842420121314,0.7934503605667974,NA,NA,NA,NA,NA,NA,872913,43.17
EI,2006,0.4090909090909091,273.17511588083187,0.7259091443159211,NA,NA,NA,NA,NA,NA,1693189,41.3
EI,2007,0.6363636363636364,272.72925922232616,0.6654780534371524,1.8425547716301522,3.6122168585220944,4,35721225,0.095,0.008,4535641,42.8
EI,2008,0.8636363636363636,273.0142233405315,0.7519991299216177,1.6933333333333334,3.30875,3.8,9394000,0.069,0.008,2274400,38.26
EI,2009,0.045454545454545456,273.04993019641284,0.7029632388705939,2.183333333333333,4.651,5.1,1080000,0.322,0.058,5135276,16
EI,2010,0.36363636363636365,272.82015969719686,0.7077525503618617,2.0628571428571427,4.9591071428571425,5.3,8200000,0.329,0.02,881687,9.1
EI,2011,0.22727272727272727,272.89302213427044,0.6928101379266927,NA,NA,NA,NA,NA,NA,3689046,23.5
EI,2012,0,272.9117590675891,0.7571108826029469,1.6816666666666666,4.259081666666667,4.59925,6394400,NA,NA,NA,NA
EI,2013,29.954545454545453,272.7013756120709,0.7355548046844106,1.9963706563706565,4.285000115830115,4.566,182786652.87967998,0.191,0.013,NA,NA
EI,2014,0.8181818181818182,272.5502108721666,0.7219050006127693,1.9869444444444444,4.229193055555555,4.42,44964200,0.201,0.007,NA,NA
EI,2015,2.5,272.6584659630144,0.7879781565615829,2.379180994060644,4.971959987496093,5.3,28312476.4,0.389,0.022,NA,NA
EI,2016,0.045454545454545456,272.7464816671022,0.7965500915134457,2.296086956521739,4.682251793478261,5.089,226910643.7880359,0.36,0.057,NA,NA
EI,2017,0.09090909090909091,273.18032965861573,0.7068962354055592,1.99,5.1243,5.8,4338200,1,0,NA,NA
EI,2018,0.7272727272727273,273.25102900115536,0.7785040123361937,2.126142807545423,4.730689272074991,5.1,108539076.97216,0.334,0.019,NA,NA
EI,2019,0.22727272727272727,273.0417712574274,0.7032917662405632,2.182672473068989,5.025349530139812,5.3,51606996,0.425,0.02,2457825,36.89
EI,2020,0,273.28190161476675,0.7210978055504006,NA,NA,NA,NA,NA,NA,6197141,7.73
EI,2021,0.022727272727272728,273.31527688469686,NA,NA,NA,NA,NA,NA,NA,NA,NA
EI,2022,0.03409090909090909,273.4126221562775,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1979,648.3157894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1980,640.6105263157895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1981,647.1368421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1982,633.4526315789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1983,615.4736842105264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1984,613.6210526315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1985,622.2526315789473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1986,622.0421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1987,640.4421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1989,598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1990,598.0421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1991,596.6947368421053,272.2721827030182,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1992,606.2526315789473,272.2237730026245,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1993,599.6421052631579,272.33253598213196,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1994,600.1473684210526,272.29779601097107,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1995,598,272.3012182712555,NA,NA,NA,NA,NA,NA,NA,NA,NA
GS,1996,602.9684210526316,272.3813877105713,NA,NA,NA,NA,NA,NA,NA,NA,NA
